objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders Duel","173346","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","126153442","7.95455","8.07998","2.2273","23","180658","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Pantheon","202976","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","127730267","7.62673","7.99727","2.3176","0","50446","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Cascadia","295947","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189048","7.74142","7.89762","1.8426","58","88939","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank! Legacy: Acquisitions Incorporated","266507","9","0","0","1","0","0","0","0","0","0","0","1","Would love to play this or the second one after Pandemic Legacy as my next Legacy game.","","","","","128971535","7.94033","8.50199","2.7391","28","19000","thing","Clank! Legacy: Acquisitions Incorporated","2","4","120","120","90","2019","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Pictures","198773","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","40133551","7.00013","7.1778","1.2392","488","44594","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","46700024","7.31545","7.50737","2.5813","227","43303","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter: Cosmic Dominion","153971","8","0","3","1","0","0","0","0","0","0","0","3","","","","","","49315216","6.71786","8.42284","3.0455","0","8164","thing","Cosmic Encounter: Cosmic Dominion","3","5","60","60","60","2014","4,5","5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Cosmic Encounter: Cosmic Incursion","61001","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","49315213","7.16829","8.22532","2.6852","0","13688","thing","Cosmic Encounter: Cosmic Incursion","3","6","60","60","60","2010","4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Crew: Mission Deep Sea","324856","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","126153487","7.81181","8.06111","2.0479","43","49322","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Crokinole","521","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189356","7.79843","8.06521","1.2214","45","20086","thing","Crokinole","2","4","30","30","30","1876","2,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die – Fear of the Unknown","373600","8","0","0","1","0","0","0","0","0","0","0","2","","","","","","135271616","6.65062","8.73658","2.6757","996","6757","thing","Cthulhu: Death May Die – Fear of the Unknown","1","5","90","90","90","2024","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Daybreak","334986","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189057","7.01867","7.68349","2.8534","472","10421","thing","Daybreak","1","4","120","120","60","2023","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
